"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"71","CFPF2","280_28_3","4",288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"symb",37.4953746866723,"288_28",154.632461523114,55.9131470530634,254.417799602525
"72","CFPF6","700_28_3","8",673,28,"T90","F","PSTR","F","700","28","PF_F",11.765,"symb",19.5563851971436,"673_28",122.787869847179,24.5424523972354,225.736914048524
"73","CFPF7","2800_31_3","10.5",3309,31,"T90","F","PSTR","F","2800","31","PF_F",12.335,"symb",220.16892219427,"3309_31",97.5014712025626,-43.6415336032152,242.034902092856
"74","CFPF8","2800_28_3","10",3285,28,"T90","F","PSTR","F","2800","28","PF_F",15.117,"symb",21.3760169640071,"3285_28",73.9405265414866,-21.8580537414748,169.897239331104
"75","CFSA1","280_31_1","4.5",311,31,"T90","F","SSID","A","280","31","SA_F",10.283,"symb",25.5322138478209,"311_31",80.1513549828257,-52.1414966930595,213.209117616559
"76","CFSA10","2800_28_1","10",3285,28,"T90","F","SSID","A","2800","28","SA_F",6.446,"symb",29.0884165019778,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"77","CFSA14","280_28_1","4",288,28,"T90","F","SSID","A","280","28","SA_F",4.661,"symb",48.9143760345091,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"78","CFSA2","400_28_1","6",447,28,"T90","F","SSID","A","400","28","SA_F",8.3,"symb",67.410664328405,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"79","CFSA3","400_31_1","6.5",405,31,"T90","F","SSID","A","400","31","SA_F",10.181,"symb",22.2460993680891,"405_31",57.2455580128455,-57.9480001178344,171.647973085685
"80","CFSA5","700_31_1","8.5",701,31,"T90","F","SSID","A","700","31","SA_F",8.918,"symb",36.1729937957093,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"81","CFSA6","700_28_1","8",673,28,"T90","F","SSID","A","700","28","SA_F",9.068,"symb",20.8760854307625,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"82","CFSA7","2800_31_1","10.5",3309,31,"T90","F","SSID","A","2800","31","SA_F",8.812,"symb",62.2471181735868,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"83","CFSB1","280_31_1","4.5",311,31,"T90","F","SSID","B","280","31","SB_F",12.31,"symb",50.6018859440632,"311_31",80.1513549828257,-52.1414966930595,213.209117616559
"84","CFSB10","400_31_1","6.5",405,31,"T90","F","SSID","B","400","31","SB_F",11.296,"symb",36.6619248877743,"405_31",57.2455580128455,-57.9480001178344,171.647973085685
"85","CFSB13","400_28_1","6",447,28,"T90","F","SSID","B","400","28","SB_F",12.975,"symb",38.1457507757648,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"86","CFSB2","280_28_1","4",288,28,"T90","F","SSID","B","280","28","SB_F",10.805,"symb",36.9937175473404,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"87","CFSB3","2800_28_1","10",3285,28,"T90","F","SSID","B","2800","28","SB_F",9.702,"symb",46.5147652983964,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"88","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"symb",35.4261503479976,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"89","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"symb",35.4261503479976,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"90","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"91","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"92","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"93","CFSB7","2800_31_1","10.5",3309,31,"T90","F","SSID","B","2800","31","SB_F",11.199,"symb",107.363938566426,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"94","CFSC14","400_28_2","6",447,28,"T90","F","SSID","C","400","28","SC_F",10.229,"symb",43.4604512485822,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"95","CFSC2","280_28_2","4",288,28,"T90","F","SSID","C","280","28","SC_F",8.893,"symb",75.3760025581721,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"96","CFSC5","700_31_2","8.5",701,31,"T90","F","SSID","C","700","31","SC_F",9.915,"symb",97.3083119256452,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"97","CFSC6","700_28_2","8",673,28,"T90","F","SSID","C","700","28","SC_F",8.956,"symb",22.5676177028987,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"98","CFSC7","2800_31_2","10.5",3309,31,"T90","F","SSID","C","2800","31","SC_F",9.433,"symb",21.0214510862986,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"99","CFSC9","2800_28_2","10",3285,28,"T90","F","SSID","C","2800","28","SC_F",9.262,"symb",34.3772116445164,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"100","CFSD1","280_31_2","4.5",311,31,"T90","F","SSID","D","280","31","SD_F",10.682,"symb",8.96830219283443,"311_31",80.1513549828257,-52.1414966930595,213.209117616559
"101","CFSD11","280_28_2","4",288,28,"T90","F","SSID","D","280","28","SD_F",10.905,"symb",46.2870392912934,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"102","CFSD3","400_31_2","6.5",405,31,"T90","F","SSID","D","400","31","SD_F",10.206,"symb",21.3004687497337,"405_31",57.2455580128455,-57.9480001178344,171.647973085685
"103","CFSD4","280_28_3","4",288,28,"T90","F","SSID","D","280","28","SD_F",11.381,"symb",39.8545034658167,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"104","CFSD5","700_31_2","8.5",701,31,"T90","F","SSID","D","700","31","SD_F",12.59,"symb",7.18182229343853,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"105","CFSD6","700_28_2","8",673,28,"T90","F","SSID","D","700","28","SD_F",9.677,"symb",39.971392110315,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"106","CFSD7","2800_31_2","10.5",3309,31,"T90","F","SSID","D","2800","31","SD_F",11.137,"symb",20.3077786083771,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"107","CFSD8","2800_28_2","10",3285,28,"T90","F","SSID","D","2800","28","SD_F",8.568,"symb",31.0656842156328,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"108","CFSD9","400_28_2","6",447,28,"T90","F","SSID","D","400","28","SD_F",11.455,"symb",40.9316277263947,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"109","CFSE1","280_31_3","4.5",311,31,"T90","F","SSID","E","280","31","SE_F",8.451,"symb",88.5817187034318,"311_31",80.1513549828257,-52.1414966930595,213.209117616559
"110","CFSE11","400_28_3","6",447,28,"T90","F","SSID","E","400","28","SE_F",1.88,"symb",123.992171715606,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"111","CFSE3","400_31_3","6.5",405,31,"T90","F","SSID","E","400","31","SE_F",9.104,"symb",21.7844125151292,"405_31",57.2455580128455,-57.9480001178344,171.647973085685
"112","CFSE5","700_31_3","8.5",701,31,"T90","F","SSID","E","700","31","SE_F",9.119,"symb",190.908650955056,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"113","CFSE6","700_28_3","8",673,28,"T90","F","SSID","E","700","28","SE_F",8.178,"symb",42.6870289820186,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"114","CFSE7","2800_31_3","10.5",3309,31,"T90","F","SSID","E","2800","31","SE_F",8.936,"symb",310.554422403173,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"115","CFSE8","2800_28_3","10",3285,28,"T90","F","SSID","E","2800","28","SE_F",6.848,"symb",14.0416859581637,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"116","CFSF11","400_28_3","6",447,28,"T90","F","SSID","F","400","28","SF_F",10.117,"symb",34.6436697499561,"447_28",72.6632386760703,-39.6247167355739,179.401318198549
"117","CFSF16","2800_28_3","10",3285,28,"T90","F","SSID","F","2800","28","SF_F",11.373,"symb",15.8651246653078,"3285_28",49.6687230208253,-55.9475957061524,163.128854829868
"118","CFSF2","280_28_3","4",288,28,"T90","F","SSID","F","280","28","SF_F",10.837,"symb",19.9148917521934,"288_28",58.1823369910462,-55.4214890763178,176.986376824473
"119","CFSF3","400_31_3","6.5",405,31,"T90","F","SSID","F","400","31","SF_F",7.627,"symb",40.3615545167977,"405_31",57.2455580128455,-57.9480001178344,171.647973085685
"120","CFSF5","700_31_3","8.5",701,31,"T90","F","SSID","F","700","31","SF_F",9.508,"symb",43.1440718874568,"701_31",109.697416615333,-6.02929775874442,228.11628402661
"121","CFSF6","700_28_3","8",673,28,"T90","F","SSID","F","700","28","SF_F",10.336,"symb",27.8525811849452,"673_28",51.2596650757878,-54.2164488293702,161.344144463498
"122","CFSF7","2800_31_3","10.5",3309,31,"T90","F","SSID","F","2800","31","SF_F",11.597,"symb",27.7441279156477,"3309_31",86.3277585424908,-22.4206380615528,199.171055142311
"123","CFTA2","280_28_1","4",288,28,"T90","F","UTEN","A","280","28","TA_F",32.06,"symb",31.665697988803,"288_28",175.13749296084,54.2059706351159,296.191593637324
"124","CFTA6","700_28_1","8",673,28,"T90","F","UTEN","A","700","28","TA_F",17.827,"symb",59.9391443622571,"673_28",75.0083949703819,-114.827062554771,257.562636763209
"125","CFTA8","2800_28_1","10",3285,28,"T90","F","UTEN","A","2800","28","TA_F",18.647,"symb",14.3078111202265,"3285_28",181.381095552003,18.9179236710467,339.33676759542
"126","CFTB2","280_28_1","4",288,28,"T90","F","UTEN","B","280","28","TB_F",23.661,"symb",31.8037113269831,"288_28",175.13749296084,54.2059706351159,296.191593637324
"127","CFTD1","400_28_2","6",447,28,"T90","F","UTEN","D","400","28","TD_F",20.389,"symb",40.6805192574924,"447_28",254.277561398619,116.890691106355,390.336447127615
"128","CFTD2","280_28_2","4",288,28,"T90","F","UTEN","D","280","28","TD_F",41.524,"symb",452.462694338871,"288_28",175.13749296084,54.2059706351159,296.191593637324
"129","CFTF2","400_28_3","6",447,28,"T90","F","UTEN","F","400","28","TF_F",21.864,"symb",47.1832207792931,"447_28",254.277561398619,116.890691106355,390.336447127615
"130","CNAA14","700_28_1","8",673,28,"T90","N","PAST","A","700","28","AA_N",12.178,"symb",3.34069006598646,"673_28",-12.7245737680516,-132.424709559055,106.169679538918
"131","CNAA2","280_28_1","4",288,28,"T90","N","PAST","A","280","28","AA_N",12.034,"symb",42.4578321106845,"288_28",-12.969359277144,-131.913244452418,114.359216130478
"132","CNAA3","400_31_1","6.5",405,31,"T90","N","PAST","A","400","31","AA_N",10.905,"symb",14.4887998561053,"405_31",-9.74693061130186,-161.482056650682,146.336202621402
"133","CNAA5","700_31_1","8.5",701,31,"T90","N","PAST","A","700","31","AA_N",10.874,"symb",5.26156903589118,"701_31",19.9339631328829,-115.408952976936,154.875709232253
"134","CNAA6","400_28_1","6",447,28,"T90","N","PAST","A","400","28","AA_N",8.667,"symb",23.2554187265222,"447_28",-5.38637432348971,-116.482064050354,108.961756465322
"135","CNAA7","2800_31_1","10.5",3309,31,"T90","N","PAST","A","2800","31","AA_N",11.976,"symb",2.87031987639746,"3309_31",7.42900699523814,-167.099070209111,190.591895085466
"136","CNAA9","2800_28_1","10",3285,28,"T90","N","PAST","A","2800","28","AA_N",10.005,"symb",1.34787557840516,"3285_28",-17.0176032123234,-127.834952202301,93.7842650885965
"137","CNAB10","280_28_1","4",288,28,"T90","N","PAST","B","280","28","AB_N",9.038,"symb",8.21120260444139,"288_28",-12.969359277144,-131.913244452418,114.359216130478
"138","CNAB11","400_31_1","6.5",405,31,"T90","N","PAST","B","400","31","AB_N",7.304,"symb",11.2410365788763,"405_31",-9.74693061130186,-161.482056650682,146.336202621402
"139","CNAB12","2800_28_1","10",3285,28,"T90","N","PAST","B","2800","28","AB_N",6.944,"symb",3.89142193419725,"3285_28",-17.0176032123234,-127.834952202301,93.7842650885965
"140","CNAB13","280_31_1","4.5",311,31,"T90","N","PAST","B","280","31","AB_N",12.161,"symb",16.0586270929233,"311_31",7.10263601415638,-141.759172676268,170.80347551061
"141","CNAB19","400_28_1","6",447,28,"T90","N","PAST","B","400","28","AB_N",6.617,"symb",2.5821996349184,"447_28",-5.38637432348971,-116.482064050354,108.961756465322
"142","CNAC1","280_31_2","4.5",311,31,"T90","N","PAST","C","280","31","AC_N",8.864,"symb",27.2690644871089,"311_31",7.10263601415638,-141.759172676268,170.80347551061
"143","CNAC12","400_28_2","6",447,28,"T90","N","PAST","C","400","28","AC_N",6.932,"symb",23.6845102506178,"447_28",-5.38637432348971,-116.482064050354,108.961756465322
"144","CNAC2","280_28_2","4",288,28,"T90","N","PAST","C","280","28","AC_N",11.649,"symb",8.76439314943437,"288_28",-12.969359277144,-131.913244452418,114.359216130478
"145","CNAC3","400_31_2","6.5",405,31,"T90","N","PAST","C","400","31","AC_N",8.534,"symb",10.6415238746247,"405_31",-9.74693061130186,-161.482056650682,146.336202621402
"146","CNAC5","700_31_2","8.5",701,31,"T90","N","PAST","C","700","31","AC_N",9.56,"symb",8.44994583700777,"701_31",19.9339631328829,-115.408952976936,154.875709232253
"147","CNAC6","700_28_2","8",673,28,"T90","N","PAST","C","700","28","AC_N",10.235,"symb",4.93648062269595,"673_28",-12.7245737680516,-132.424709559055,106.169679538918
"148","CNAC8","2800_28_2","10",3285,28,"T90","N","PAST","C","2800","28","AC_N",10.829,"symb",2.32344346590777,"3285_28",-17.0176032123234,-127.834952202301,93.7842650885965
"149","CNAD10","280_28_2","4",288,28,"T90","N","PAST","D","280","28","AD_N",11.882,"symb",6.30908830408287,"288_28",-12.969359277144,-131.913244452418,114.359216130478
"150","CNAD3","400_31_2","6.5",405,31,"T90","N","PAST","D","400","31","AD_N",12.839,"symb",8.84690070760024,"405_31",-9.74693061130186,-161.482056650682,146.336202621402
"151","CNAD5","700_31_2","8.5",701,31,"T90","N","PAST","D","700","31","AD_N",12.119,"symb",95.4053234203101,"701_31",19.9339631328829,-115.408952976936,154.875709232253
"152","CNAD6","700_28_2","8",673,28,"T90","N","PAST","D","700","28","AD_N",11.062,"symb",24.6986392055067,"673_28",-12.7245737680516,-132.424709559055,106.169679538918
