"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci","97.5%"
"126","CFTA6","700_28_1","8",673,28,"T90","F","UTEN","A","700","28","TA_F",17.827,"symb",59.9391443622571,"673_28",133.551904855393,-166.960447300468,438.527865589388
"127","CFTA8","2800_28_1","10",3285,28,"T90","F","UTEN","A","2800","28","TA_F",18.647,"symb",14.3078111202265,"3285_28",-19.0590827211012,-333.937482128078,284.448271763174
"128","CFTB2","280_28_1","4",288,28,"T90","F","UTEN","B","280","28","TB_F",23.661,"symb",31.8037113269831,"288_28",295.707137721936,2.52193670188518,583.656840900578
"129","CFTD1","400_28_2","6",447,28,"T90","F","UTEN","D","400","28","TD_F",20.389,"symb",40.6805192574924,"447_28",130.068735425531,-172.878104802848,430.693229921642
"130","CFTD2","280_28_2","4",288,28,"T90","F","UTEN","D","280","28","TD_F",41.524,"symb",452.462694338871,"288_28",295.707137721936,2.52193670188518,583.656840900578
"131","CFTF2","400_28_3","6",447,28,"T90","F","UTEN","F","400","28","TF_F",21.864,"symb",47.1832207792931,"447_28",130.068735425531,-172.878104802848,430.693229921642
"132","CNAA14","700_28_1","8",673,28,"T90","N","PAST","A","700","28","AA_N",12.178,"symb",3.34069006598646,"673_28",2.95606791081685,-256.713884064088,262.849098059542
"133","CNAA2","280_28_1","4",288,28,"T90","N","PAST","A","280","28","AA_N",12.034,"symb",42.4578321106845,"288_28",165.11130077736,-75.9408176616833,414.034910184581
"134","CNAA3","400_31_1","6.5",405,31,"T90","N","PAST","A","400","31","AA_N",10.905,"symb",14.4887998561053,"405_31",-0.129933325913215,-293.550782382041,278.974040543563
"135","CNAA5","700_31_1","8.5",701,31,"T90","N","PAST","A","700","31","AA_N",10.874,"symb",5.26156903589118,"701_31",3.35323610394807,-299.31709339573,286.151566121631
"136","CNAA6","400_28_1","6",447,28,"T90","N","PAST","A","400","28","AA_N",8.667,"symb",23.2554187265222,"447_28",-0.527101519044437,-244.943094151813,241.206013969262
"137","CNAA7","2800_31_1","10.5",3309,31,"T90","N","PAST","A","2800","31","AA_N",11.976,"symb",2.87031987639746,"3309_31",-149.257751472546,-446.62802373137,146.973654876556
"138","CNAA9","2800_28_1","10",3285,28,"T90","N","PAST","A","2800","28","AA_N",10.005,"symb",1.34787557840516,"3285_28",-149.654919665677,-393.603057890139,102.79847527614
"139","CNAB10","280_28_1","4",288,28,"T90","N","PAST","B","280","28","AB_N",9.038,"symb",8.21120260444139,"288_28",165.11130077736,-75.9408176616833,414.034910184581
"140","CNAB11","400_31_1","6.5",405,31,"T90","N","PAST","B","400","31","AB_N",7.304,"symb",11.2410365788763,"405_31",-0.129933325913215,-293.550782382041,278.974040543563
"141","CNAB12","2800_28_1","10",3285,28,"T90","N","PAST","B","2800","28","AB_N",6.944,"symb",3.89142193419725,"3285_28",-149.654919665677,-393.603057890139,102.79847527614
"142","CNAB13","280_31_1","4.5",311,31,"T90","N","PAST","B","280","31","AB_N",12.161,"symb",16.0586270929233,"311_31",165.508468970491,-144.860528973149,451.509986265941
"143","CNAB19","400_28_1","6",447,28,"T90","N","PAST","B","400","28","AB_N",6.617,"symb",2.5821996349184,"447_28",-0.527101519044437,-244.943094151813,241.206013969262
"144","CNAC1","280_31_2","4.5",311,31,"T90","N","PAST","C","280","31","AC_N",8.864,"symb",27.2690644871089,"311_31",165.508468970491,-144.860528973149,451.509986265941
"145","CNAC12","400_28_2","6",447,28,"T90","N","PAST","C","400","28","AC_N",6.932,"symb",23.6845102506178,"447_28",-0.527101519044437,-244.943094151813,241.206013969262
"146","CNAC2","280_28_2","4",288,28,"T90","N","PAST","C","280","28","AC_N",11.649,"symb",8.76439314943437,"288_28",165.11130077736,-75.9408176616833,414.034910184581
"147","CNAC3","400_31_2","6.5",405,31,"T90","N","PAST","C","400","31","AC_N",8.534,"symb",10.6415238746247,"405_31",-0.129933325913215,-293.550782382041,278.974040543563
"148","CNAC5","700_31_2","8.5",701,31,"T90","N","PAST","C","700","31","AC_N",9.56,"symb",8.44994583700777,"701_31",3.35323610394807,-299.31709339573,286.151566121631
"149","CNAC6","700_28_2","8",673,28,"T90","N","PAST","C","700","28","AC_N",10.235,"symb",4.93648062269595,"673_28",2.95606791081685,-256.713884064088,262.849098059542
"150","CNAC8","2800_28_2","10",3285,28,"T90","N","PAST","C","2800","28","AC_N",10.829,"symb",2.32344346590777,"3285_28",-149.654919665677,-393.603057890139,102.79847527614
"151","CNAD10","280_28_2","4",288,28,"T90","N","PAST","D","280","28","AD_N",11.882,"symb",6.30908830408287,"288_28",165.11130077736,-75.9408176616833,414.034910184581
"152","CNAD3","400_31_2","6.5",405,31,"T90","N","PAST","D","400","31","AD_N",12.839,"symb",8.84690070760024,"405_31",-0.129933325913215,-293.550782382041,278.974040543563
"153","CNAD5","700_31_2","8.5",701,31,"T90","N","PAST","D","700","31","AD_N",12.119,"symb",95.4053234203101,"701_31",3.35323610394807,-299.31709339573,286.151566121631
"154","CNAD6","700_28_2","8",673,28,"T90","N","PAST","D","700","28","AD_N",11.062,"symb",24.6986392055067,"673_28",2.95606791081685,-256.713884064088,262.849098059542
"155","CNAD7","2800_31_2","10.5",3309,31,"T90","N","PAST","D","2800","31","AD_N",12.793,"symb",9.40849888977448,"3309_31",-149.257751472546,-446.62802373137,146.973654876556
