"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"50","CFPB3","400_31_1","405_31",405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"chla",5.424,11.3070497873679,-32.3358709565377,54.1671407914704
"51","CFPB5","700_31_1","701_31",701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"chla",26.187,18.2264141456816,-21.50223899868,57.1527788636228
"52","CFPB6","700_28_1","673_28",673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"chla",221.579,84.1147547513554,55.2356300294535,110.524148226994
"53","CFPB7","2800_31_1","3309_31",3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"chla",23.009,12.3683650012468,-26.1642781297957,48.0894839210114
"54","CFPB9","280_31_1","311_31",311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"chla",173.892,110.072763647336,75.1448787767391,147.017083762057
"55","CFPC10","400_28_2","447_28",447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"chla",38.448,172.469819224815,123.223124190188,221.258006386482
"56","CFPC11","280_28_2","288_28",288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"chla",207.448,193.515187630814,167.65421228467,220.10140129246
"57","CFPC12","700_31_2","701_31",701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"chla",19.036,18.2264141456816,-21.50223899868,57.1527788636228
"58","CFPC2","280_28_2","288_28",288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"chla",159.677,193.515187630814,167.65421228467,220.10140129246
"59","CFPC6","700_28_2","673_28",673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"chla",19.433,84.1147547513554,55.2356300294535,110.524148226994
"60","CFPC8","2800_28_2","3285_28",3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"chla",87.373,73.3394042770456,47.5142594305289,100.899561102387
"61","CFPD1","280_31_2","311_31",311,31,"T90","F","PSTR","D","280","31","PD_F",12.425,"chla",23.711,110.072763647336,75.1448787767391,147.017083762057
"62","CFPD11","2800_28_2","3285_28",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"chla",77.507,73.3394042770456,47.5142594305289,100.899561102387
"63","CFPD2","280_28_2","288_28",288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"chla",219.443,193.515187630814,167.65421228467,220.10140129246
"64","CFPD5","700_31_2","701_31",701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"chla",7.645,18.2264141456816,-21.50223899868,57.1527788636228
