"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"sum_bw5",-125.9,-170.975637374231,-214.430293907407,-130.045834409226
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"sum_bw5",-266.4,-326.648805358796,-361.744109796082,-292.742547990963
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"sum_bw5",-349.5,-262.014631367727,-299.347364721036,-225.811424778469
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"sum_bw5",-431.4,-421.818185424541,-459.264884461614,-382.9642977618
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"sum_bw5",-362.1,-380.315195204225,-417.260060552528,-342.902449360463
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"sum_bw5",-273.6,-421.818185424541,-459.264884461614,-382.9642977618
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"sum_bw5",-314.2,-326.648805358796,-361.744109796082,-292.742547990963
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"sum_bw5",-214.4,-262.014631367727,-299.347364721036,-225.811424778469
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"sum_bw5",-192.3,-235.6098113653,-275.747229365517,-194.732161569954
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"sum_bw5",-407.8,-330.779191431045,-369.239183001557,-293.361745340317
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"sum_bw5",-437.8,-380.315195204225,-417.260060552528,-342.902449360463
"12","CFAC1","280_31_2","311_31",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"sum_bw5",-192.3,-170.975637374231,-214.430293907407,-130.045834409226
"13","CFAC12","400_28_2","447_28",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"sum_bw5",-341,-326.648805358796,-361.744109796082,-292.742547990963
"14","CFAC2","280_28_2","288_28",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"sum_bw5",-265.6,-262.014631367727,-299.347364721036,-225.811424778469
