"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"1744",1611,"CFPE42","2800_28_1",28.1,"2800_28",3369.78,28,"ext","P","PE_F","F",9.626,NA,"total",0.089,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1746",1613,"CFPE6","700_28_3",28.1,"700_28",689.5,28,"eoc","P","PE_F","F",10.186,NA,"total",0.501,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1748",1615,"CFPE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","P","PE_F","F",11.411,NA,"total",-0.27,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1749",1616,"CFPF1","280_31_3",30.9,"280_31",291.58,31,"pre","P","PF_F","F",10.667,NA,"total",0.323,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"1750",1617,"CFPF2","280_28_3",27.9,"280_28",317.27,28,"pre","P","PF_F","F",11.07,NA,"total",-0.7,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1753",1620,"CFPF6","700_28_3",28.1,"700_28",689.5,28,"eoc","P","PF_F","F",11.765,NA,"total",-0.171,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1754",1621,"CFPF7","2800_31_3",31,"2800_31",3295.97,31,"ext","P","PF_F","F",12.335,NA,"total",-0.94,2800,"31",-0.815299296462483,-1.05788109544995,-0.564013022059186
"1755",1622,"CFPF8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","P","PF_F","F",15.117,NA,"total",-0.013,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1758",1649,"CFSD3","400_31_2",31.1,"400_31",447.02,31,"cur","S","SD_F","F",10.206,NA,"total",2.224,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"1761",1672,"CFTA2","280_28_1",28,"280_28",302.69,28,"pre","T","TA_F","F",32.06,NA,"total",0.112,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"1764",1675,"CFTA6","700_28_1",28,"700_28",707.6,28,"eoc","T","TA_F","F",17.827,NA,"total",-0.043,700,"28",0.0291505302343851,-0.397793283640731,0.464979515487643
"1766",1677,"CFTA8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","T","TA_F","F",18.647,NA,"total",-0.259,2800,"28",-0.241240440738133,-0.650043936330931,0.177337207736405
"1769",1680,"CFTB2","280_28_1",28,"280_28",302.69,28,"pre","T","TB_F","F",23.661,NA,"total",0.074,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"1776",1687,"CFTD1","400_28_2",28.1,"400_28",400.02,28,"cur","T","TD_F","F",20.389,NA,"total",0.107,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"1777",1688,"CFTD2","280_28_2",27.9,"280_28",314.65,28,"pre","T","TD_F","F",41.524,NA,"total",0.037,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"1781",1692,"CFTF2","400_28_3",28,"400_28",405.52,28,"cur","T","TF_F","F",21.864,NA,"total",0.145,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"1785",1701,"CNAA7","2800_31_1",30.9,"2800_31",3258.29,31,"ext","A","AA_N","N",11.976,NA,"total",-0.231,2800,"31",-0.523518591953121,-0.802983453467991,-0.245841657574376
"1791",1720,"CNAD10","280_28_2",27.9,"280_28",314.65,28,"pre","A","AD_N","N",11.882,NA,"total",-0.478,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"1792",1722,"CNAD5","700_31_2",30.9,"700_31",677.35,31,"eoc","A","AD_N","N",12.119,NA,"total",-0.109,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"1793",1723,"CNAD6","700_28_2",28.1,"700_28",707.17,28,"eoc","A","AD_N","N",11.062,NA,"total",-0.535,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"1795",1730,"CNAE5","700_31_3",30.9,"700_31",675.24,31,"eoc","A","AE_N","N",9.883,NA,"total",-0.05,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"1796",1732,"CNAE7","2800_31_3",31,"2800_31",3295.97,31,"ext","A","AE_N","N",7.256,NA,"total",-0.657,2800,"31",-0.523518591953121,-0.802983453467991,-0.245841657574376
"1798",1740,"CNAF7","2800_31_3",31,"2800_31",3295.97,31,"ext","A","AF_N","N",10.895,NA,"total",-0.713,2800,"31",-0.523518591953121,-0.802983453467991,-0.245841657574376
