"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"228",1836,"CNTA11","400_28_1",28,"400_28",408.25,28,"cur","T","TA_N","N",13.82,0.004,"total",0.2,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"229",1845,"CNTB2","280_28_1",28,"280_28",302.69,28,"pre","T","TB_N","N",19.043,0.004,"total",0.109,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"230",1862,"CNTD1","280_31_2",30.9,"280_31",286.61,31,"pre","T","TD_N","N",17.389,0.004,"total",0.199,280,"31",0.128987170373704,-0.303540750030225,0.583487344201285
"347",1519,"CFAB18","400_28_1",28,"400_28",408.25,28,"cur","A","AB_F","F",9.132,0.005,"total",0.634,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"348",1530,"CFAC6","700_28_2",28.1,"700_28",707.17,28,"eoc","A","AC_F","F",10.222,0.005,"total",-0.17,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"349",1538,"CFAD6","700_28_2",28.1,"700_28",707.17,28,"eoc","A","AD_F","F",8.446,0.005,"total",-0.774,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"350",1540,"CFAD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","A","AD_F","F",9.366,0.005,"total",-0.713,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"351",1543,"CFAE15","280_28_3",27.9,"280_28",317.27,28,"pre","A","AE_F","F",8.097,0.005,"total",0.09,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"352",1548,"CFAF2","280_28_3",27.9,"280_28",317.27,28,"pre","A","AF_F","F",10.805,0.005,"total",0.111,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"353",1553,"CFAF8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","A","AF_F","F",9.643,0.005,"total",-0.879,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"354",1625,"CFSA10","2800_28_1",28.1,"2800_28",3369.78,28,"ext","S","SA_F","F",6.446,0.005,"total",-0.056,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"355",1627,"CFSA2","400_28_1",28,"400_28",408.25,28,"cur","S","SA_F","F",8.3,0.005,"total",1.093,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"356",1631,"CFSA7","2800_31_1",30.9,"2800_31",3258.29,31,"ext","S","SA_F","F",8.812,0.005,"total",-0.012,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"357",1662,"CFSE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","S","SE_F","F",6.848,0.005,"total",-0.418,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"358",1665,"CFSF16","2800_28_3",28.1,"2800_28",3219.84,28,"ext","S","SF_F","F",11.373,0.005,"total",0.74,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"359",1667,"CFSF3","400_31_3",31.1,"400_31",459.07,31,"cur","S","SF_F","F",7.627,0.005,"total",1.556,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"360",1697,"CNAA2","280_28_1",28,"280_28",302.69,28,"pre","A","AA_N","N",12.034,0.005,"total",0.404,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"361",1700,"CNAA6","400_28_1",28,"400_28",408.25,28,"cur","A","AA_N","N",8.667,0.005,"total",-0.215,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"362",1713,"CNAC2","280_28_2",27.9,"280_28",314.65,28,"pre","A","AC_N","N",11.649,0.005,"total",-0.045,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"363",1716,"CNAC6","700_28_2",28.1,"700_28",707.17,28,"eoc","A","AC_N","N",10.235,0.005,"total",-0.237,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"364",1726,"CNAD9","400_28_2",28.1,"400_28",400.02,28,"cur","A","AD_N","N",12.847,0.005,"total",-0.851,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"365",1731,"CNAE6","700_28_3",28.1,"700_28",689.5,28,"eoc","A","AE_N","N",9.108,0.005,"total",-0.042,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"366",1807,"CNSC3","400_31_2",31.1,"400_31",447.02,31,"cur","S","SC_N","N",7.851,0.005,"total",0.938,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"367",1823,"CNSE21","400_31_3",31.1,"400_31",459.07,31,"cur","S","SE_N","N",9.522,0.005,"total",1.931,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"368",1826,"CNSE5","700_31_3",30.9,"700_31",675.24,31,"eoc","S","SE_N","N",10.615,0.005,"total",0.634,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"369",1833,"CNSF24","280_31_3",30.9,"280_31",291.58,31,"pre","S","SF_N","N",11.243,0.005,"total",0.398,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"370",1848,"CNTB9","400_28_1",28,"400_28",408.25,28,"cur","T","TB_N","N",15.733,0.005,"total",0.223,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"371",1853,"CNTC16","280_28_2",27.9,"280_28",314.65,28,"pre","T","TC_N","N",7.669,0.005,"total",0.289,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"372",1854,"CNTC2","280_28_2",27.9,"280_28",314.65,28,"pre","T","TC_N","N",20.371,0.005,"total",0.151,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"373",1863,"CNTD13","400_28_2",28.1,"400_28",400.02,28,"cur","T","TD_N","N",10.053,0.005,"total",0.243,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"374",1864,"CNTD15","280_28_3",27.9,"280_28",317.27,28,"pre","T","TD_N","N",3.641,0.005,"total",0.187,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"375",1880,"CNTF2","280_28_3",27.9,"280_28",317.27,28,"pre","T","TF_N","N",26.052,0.005,"total",0.079,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"448",1624,"CFSA1","280_31_1",31,"280_31",286.83,31,"pre","S","SA_F","F",10.283,0.006,"total",0.752,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"449",1632,"CFSB1","280_31_1",31,"280_31",286.83,31,"pre","S","SB_F","F",12.31,0.006,"total",0.732,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"450",1643,"CFSC5","700_31_2",30.9,"700_31",677.35,31,"eoc","S","SC_F","F",9.915,0.006,"total",1.41,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"451",1646,"CFSC9","2800_28_2",28.1,"2800_28",3336.47,28,"ext","S","SC_F","F",9.262,0.006,"total",-0.625,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"452",1648,"CFSD11","280_28_2",27.9,"280_28",314.65,28,"pre","S","SD_F","F",10.905,0.006,"total",0.37,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"453",1660,"CFSE6","700_28_3",28.1,"700_28",689.5,28,"eoc","S","SE_F","F",8.178,0.006,"total",1.022,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"454",1661,"CFSE7","2800_31_3",31,"2800_31",3295.97,31,"ext","S","SE_F","F",8.936,0.006,"total",-0.337,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"455",1712,"CNAC12","400_28_2",28.1,"400_28",400.02,28,"cur","A","AC_N","N",6.932,0.006,"total",1.129,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"456",1721,"CNAD3","400_31_2",31.1,"400_31",447.02,31,"cur","A","AD_N","N",12.839,0.006,"total",0.314,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"457",1736,"CNAF11","2800_28_3",28.1,"2800_28",3219.84,28,"ext","A","AF_N","N",13.133,0.006,"total",-0.083,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"458",1789,"CNSA1","280_31_1",31,"280_31",286.83,31,"pre","S","SA_N","N",9.448,0.006,"total",0.874,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"459",1790,"CNSA17","400_28_1",28,"400_28",408.25,28,"cur","S","SA_N","N",6.707,0.006,"total",0.325,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"460",1793,"CNSA5","700_31_1",30.9,"700_31",666.85,31,"eoc","S","SA_N","N",8.813,0.006,"total",0.686,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"461",1799,"CNSB20","2800_31_1",30.9,"2800_31",3258.29,31,"ext","S","SB_N","N",6.394,0.006,"total",0.799,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"462",1810,"CNSC7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","S","SC_N","N",9.315,0.006,"total",0.236,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"463",1824,"CNSE22","400_28_3",28,"400_28",405.52,28,"cur","S","SE_N","N",8.415,0.006,"total",2.364,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"464",1857,"CNTC22","280_31_2",30.9,"280_31",286.61,31,"pre","T","TC_N","N",10.661,0.006,"total",0.126,280,"31",0.128987170373704,-0.303540750030225,0.583487344201285
"465",1874,"CNTE2","280_28_3",27.9,"280_28",317.27,28,"pre","T","TE_N","N",13.619,0.006,"total",0.129,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"550",1509,"CFAA1","280_31_1",31,"280_31",286.83,31,"pre","A","AA_F","F",10.547,0.007,"total",0.333,280,"31",0.228796449047385,-0.0384967659845292,0.496765820157954
"551",1551,"CFAF6","700_28_3",28.1,"700_28",689.5,28,"eoc","A","AF_F","F",10.115,0.007,"total",0.223,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"552",1626,"CFSA14","280_28_1",28,"280_28",302.69,28,"pre","S","SA_F","F",4.661,0.007,"total",0.957,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"553",1638,"CFSB6","700_28_1",28,"700_28",707.6,28,"eoc","S","SB_F","F",12.153,0.007,"total",1.289,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"554",1640,"CFSC14","400_28_2",28.1,"400_28",400.02,28,"cur","S","SC_F","F",10.229,0.007,"total",1.434,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"555",1641,"CFSC2","280_28_2",27.9,"280_28",314.65,28,"pre","S","SC_F","F",8.893,0.007,"total",1.095,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"556",1645,"CFSC7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","S","SC_F","F",9.433,0.007,"total",0.448,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"557",1659,"CFSE5","700_31_3",30.9,"700_31",675.24,31,"eoc","S","SE_F","F",9.119,0.007,"total",-0.148,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"558",1669,"CFSF6","700_28_3",28.1,"700_28",689.5,28,"eoc","S","SF_F","F",10.336,0.007,"total",1.526,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"559",1698,"CNAA3","400_31_1",31.1,"400_31",434.02,31,"cur","A","AA_N","N",10.905,0.007,"total",-0.063,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"560",1711,"CNAC1","280_31_2",30.9,"280_31",286.61,31,"pre","A","AC_N","N",8.864,0.007,"total",0.936,280,"31",0.228796449047385,-0.0384967659845292,0.496765820157954
"561",1800,"CNSB3","400_31_1",31.1,"400_31",434.02,31,"cur","S","SB_N","N",11.577,0.007,"total",1.014,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"562",1803,"CNSB7","400_28_1",28,"400_28",408.25,28,"cur","S","SB_N","N",12.183,0.007,"total",1.232,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"563",1808,"CNSC5","700_31_2",30.9,"700_31",677.35,31,"eoc","S","SC_N","N",9.474,0.007,"total",1.172,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"564",1811,"CNSC8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","S","SC_N","N",8.767,0.007,"total",-0.236,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"565",1822,"CNSE20","400_31_3",31.1,"400_31",459.07,31,"cur","S","SE_N","N",11.112,0.007,"total",1.508,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"566",1829,"CNSF13","700_28_3",28.1,"700_28",689.5,28,"eoc","S","SF_N","N",8.722,0.007,"total",0.934,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"567",1832,"CNSF23","280_28_3",27.9,"280_28",317.27,28,"pre","S","SF_N","N",7.566,0.007,"total",1.445,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"568",1856,"CNTC21","400_28_2",28.1,"400_28",400.02,28,"cur","T","TC_N","N",9.533,0.007,"total",0.141,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"569",1872,"CNTE12","280_31_3",30.9,"280_31",291.58,31,"pre","T","TE_N","N",15.083,0.007,"total",0.257,280,"31",0.128987170373704,-0.303540750030225,0.583487344201285
"570",1877,"CNTE6","700_28_3",28.1,"700_28",689.5,28,"eoc","T","TE_N","N",30.319,0.007,"total",0.134,700,"28",0.0291505302343851,-0.397793283640731,0.464979515487643
"643",1635,"CFSB2","280_28_1",28,"280_28",302.69,28,"pre","S","SB_F","F",10.805,0.008,"total",1.122,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"644",1637,"CFSB5","700_31_1",30.9,"700_31",666.85,31,"eoc","S","SB_F","F",11.185,0.008,"total",1.359,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"645",1644,"CFSC6","700_28_2",28.1,"700_28",707.17,28,"eoc","S","SC_F","F",8.956,0.008,"total",0.969,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"646",1657,"CFSE11","400_28_3",28,"400_28",405.52,28,"cur","S","SE_F","F",1.88,0.008,"total",1.136,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"647",1658,"CFSE3","400_31_3",31.1,"400_31",459.07,31,"cur","S","SE_F","F",9.104,0.008,"total",0.046,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"648",1666,"CFSF2","280_28_3",27.9,"280_28",317.27,28,"pre","S","SF_F","F",10.837,0.008,"total",1.999,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"649",1670,"CFSF7","2800_31_3",31,"2800_31",3295.97,31,"ext","S","SF_F","F",11.597,0.008,"total",0.902,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"650",1706,"CNAB13","280_31_1",31,"280_31",286.83,31,"pre","A","AB_N","N",12.161,0.008,"total",0.045,280,"31",0.228796449047385,-0.0384967659845292,0.496765820157954
"651",1708,"CNAB19","400_28_1",28,"400_28",408.25,28,"cur","A","AB_N","N",6.617,0.008,"total",-0.085,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"652",1734,"CNAF1","280_31_3",30.9,"280_31",291.58,31,"pre","A","AF_N","N",13.161,0.008,"total",1.286,280,"31",0.228796449047385,-0.0384967659845292,0.496765820157954
"653",1802,"CNSB6","700_28_1",28,"700_28",707.6,28,"eoc","S","SB_N","N",10.674,0.008,"total",0.953,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"654",1812,"CNSD1","280_31_2",30.9,"280_31",286.61,31,"pre","S","SD_N","N",9.161,0.008,"total",0.919,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"655",1814,"CNSD3","400_31_2",31.1,"400_31",447.02,31,"cur","S","SD_N","N",9.112,0.008,"total",0.48,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"656",1825,"CNSE23","2800_28_3",28.1,"2800_28",3219.84,28,"ext","S","SE_N","N",10.929,0.008,"total",0.034,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"657",1830,"CNSF15","2800_31_3",31,"2800_31",3295.97,31,"ext","S","SF_N","N",10.255,0.008,"total",1.043,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"658",1831,"CNSF20","400_28_3",28,"400_28",405.52,28,"cur","S","SF_N","N",6.942,0.008,"total",1.999,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"659",1834,"CNSF25","2800_28_3",28.1,"2800_28",3219.84,28,"ext","S","SF_N","N",9.462,0.008,"total",0.508,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"660",1878,"CNTE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","T","TE_N","N",22.085,0.008,"total",-0.193,2800,"28",-0.241240440738133,-0.650043936330931,0.177337207736405
"681",1647,"CFSD1","280_31_2",30.9,"280_31",286.61,31,"pre","S","SD_F","F",10.682,0.009,"total",2.192,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"682",1668,"CFSF5","700_31_3",30.9,"700_31",675.24,31,"eoc","S","SF_F","F",9.508,0.009,"total",0.986,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"683",1703,"CNAB10","280_28_1",28,"280_28",302.69,28,"pre","A","AB_N","N",9.038,0.009,"total",-0.11,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"684",1797,"CNSB16","400_31_3",31.1,"400_31",459.07,31,"cur","S","SB_N","N",11.49,0.009,"total",1.24,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"685",1827,"CNSE7","2800_31_3",31,"2800_31",3295.97,31,"ext","S","SE_N","N",12.69,0.009,"total",0.478,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"730",1633,"CFSB10","400_31_1",31.1,"400_31",434.02,31,"cur","S","SB_F","F",11.296,0.01,"total",1.609,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"731",1634,"CFSB13","400_28_1",28,"400_28",408.25,28,"cur","S","SB_F","F",12.975,0.01,"total",1.139,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"732",1653,"CFSD7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","S","SD_F","F",11.137,0.01,"total",1.413,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"733",1664,"CFSF11","400_28_3",28,"400_28",405.52,28,"cur","S","SF_F","F",10.117,0.01,"total",1.924,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"734",1796,"CNSB1","280_31_1",31,"280_31",286.83,31,"pre","S","SB_N","N",11.196,0.01,"total",1.308,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"735",1801,"CNSB5","700_31_1",30.9,"700_31",666.85,31,"eoc","S","SB_N","N",11.107,0.01,"total",1.105,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"736",1804,"CNSB8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","S","SB_N","N",9.859,0.01,"total",0.695,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"737",1809,"CNSC6","700_28_2",28.1,"700_28",707.17,28,"eoc","S","SC_N","N",10.399,0.01,"total",1.137,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"738",1815,"CNSD5","700_31_2",30.9,"700_31",677.35,31,"eoc","S","SD_N","N",10.957,0.01,"total",1.214,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"739",1817,"CNSD7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","S","SD_N","N",8.368,0.01,"total",0.301,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"740",1871,"CNTE10","400_28_3",28,"400_28",405.52,28,"cur","T","TE_N","N",30.207,0.01,"total",0.602,400,"28",0.237286830855543,-0.125282464126453,0.611141972985557
"765",1650,"CFSD4","280_28_3",27.9,"280_28",317.27,28,"pre","S","SD_F","F",11.381,0.011,"total",2.135,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"766",1651,"CFSD5","700_31_2",30.9,"700_31",677.35,31,"eoc","S","SD_F","F",12.59,0.011,"total",1.519,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"767",1739,"CNAF6","700_28_3",28.1,"700_28",689.5,28,"eoc","A","AF_N","N",12.997,0.011,"total",0.655,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"768",1794,"CNSA6","700_28_1",28,"700_28",707.6,28,"eoc","S","SA_N","N",7.59,0.011,"total",0.551,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"769",1813,"CNSD2","280_28_2",27.9,"280_28",314.65,28,"pre","S","SD_N","N",8.986,0.011,"total",1.627,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"770",1818,"CNSD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","S","SD_N","N",8.356,0.011,"total",0.488,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"783",1590,"CFPD2","280_28_2",27.9,"280_28",314.65,28,"pre","P","PD_F","F",11.427,0.012,"total",1.208,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"784",1654,"CFSD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","S","SD_F","F",8.568,0.012,"total",0.822,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"785",1819,"CNSD9","400_28_2",28.1,"400_28",400.02,28,"cur","S","SD_N","N",8.1,0.012,"total",1.231,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"794",1798,"CNSB2","280_28_1",28,"280_28",302.69,28,"pre","S","SB_N","N",10.862,0.013,"total",1.637,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"795",1816,"CNSD6","700_28_2",28.1,"700_28",707.17,28,"eoc","S","SD_N","N",8.568,0.013,"total",0.978,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"820",1560,"CFPA2","280_28_1",28,"280_28",302.69,28,"pre","P","PA_F","F",11.998,0.015,"total",1.802,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"821",1562,"CFPA21","280_28_2",27.9,"280_28",314.65,28,"pre","P","PA_F","F",16.909,0.015,"total",1.883,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"822",1566,"CFPA6","700_28_1",28,"700_28",707.6,28,"eoc","P","PA_F","F",11.948,0.015,"total",1.597,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"823",1568,"CFPA8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","P","PA_F","F",7.292,0.015,"total",-0.06,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"824",1652,"CFSD6","700_28_2",28.1,"700_28",707.17,28,"eoc","S","SD_F","F",9.677,0.015,"total",2.086,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"825",1655,"CFSD9","400_28_2",28.1,"400_28",400.02,28,"cur","S","SD_F","F",11.455,0.015,"total",2.397,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"830",1569,"CFPA9","700_28_2",28.1,"700_28",707.17,28,"eoc","P","PA_F","F",14.665,0.016,"total",0.713,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"835",1588,"CFPD1","280_31_2",30.9,"280_31",286.61,31,"pre","P","PD_F","F",12.425,0.017,"total",-0.159,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"840",1558,"CFPA12","280_31_2",30.9,"280_31",286.61,31,"pre","P","PA_F","F",18.462,0.018,"total",0.633,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"845",1586,"CFPC8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","P","PC_F","F",10.075,0.019,"total",-0.725,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"850",1582,"CFPC2","280_28_2",27.9,"280_28",314.65,28,"pre","P","PC_F","F",10.872,0.021,"total",1.071,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"855",1579,"CFPC10","400_28_2",28.1,"400_28",400.02,28,"cur","P","PC_F","F",10.171,0.03,"total",-0.783,400,"28",0.503656479003214,0.209393869504415,0.828317732122849
"1680",1511,"CFAA2","280_28_1",28,"280_28",302.69,28,"pre","A","AA_F","F",8.63,NA,"total",-0.148,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"1681",1512,"CFAA3","400_31_1",31.1,"400_31",434.02,31,"cur","A","AA_F","F",10.159,NA,"total",0.03,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"1686",1529,"CFAC5","700_31_2",30.9,"700_31",677.35,31,"eoc","A","AC_F","F",11.743,NA,"total",0.105,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
