"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"39",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PA_F",9.655,"symb",82.316642856354,1549.60356387787,1139.56167909716,1958.75432219607
"40",NA,NA,"405_31",405,31,NA,NA,"PSTR",NA,"400","31","PA_F",12.671,"symb",2098.22919794346,1706.5836998308,1277.49390955244,2122.77138096745
"41",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PA_F",11.948,"symb",47.5918460960675,260.967301085256,-61.0111662784487,587.147576232255
"42",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PA_F",11.518,"symb",25.809544375244,1549.60356387787,1139.56167909716,1958.75432219607
"43",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PA_F",7.292,"symb",45.1599084382068,-74.0769705578036,-395.063884604227,244.848805496039
"44",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PA_F",14.665,"symb",185.622072002482,260.967301085256,-61.0111662784487,587.147576232255
"45",NA,NA,"447_28",447,28,NA,NA,"PSTR",NA,"400","28","PB_F",7.942,"symb",57.1987229911349,82.9031653951205,-282.960970797656,457.137111050021
"46",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PB_F",9.46,"symb",39.1028911440074,-74.0769705578036,-395.063884604227,244.848805496039
"47",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PB_F",10.94,"symb",66.9568033226576,239.76993475491,-78.2717009166325,563.153736323722
"48",NA,NA,"701_31",701,31,NA,NA,"PSTR",NA,"700","31","PB_F",9.71,"symb",13621.9162534639,1884.64783552093,1475.43910092614,2320.19273424366
"49",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PB_F",11.396,"symb",96.5618195792567,260.967301085256,-61.0111662784487,587.147576232255
"50",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PB_F",8.536,"symb",202.062576161955,1549.60356387787,1139.56167909716,1958.75432219607
