"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"57","CFPC12","700_31_2","8.5",701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"pro",0.259,"701_31",0.209377836268929,0.118644135046634,0.300251917778268
"58","CFPC2","280_28_2","4",288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"pro",0.724,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"59","CFPC6","700_28_2","8",673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"pro",0.247,"673_28",0.453579864903338,0.374155162752072,0.532997097567735
"60","CFPC8","2800_28_2","10",3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"pro",0.389,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"61","CFPD1","280_31_2","4.5",311,31,"T90","F","PSTR","D","280","31","PD_F",12.425,"pro",0.537,"311_31",0.317033064084256,0.233186538418963,0.399222434959375
"62","CFPD11","2800_28_2","10",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"pro",0.587,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"63","CFPD2","280_28_2","4",288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"pro",0.465,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"64","CFPD5","700_31_2","8.5",701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"pro",0.21,"701_31",0.209377836268929,0.118644135046634,0.300251917778268
"65","CFPD6","400_28_2","6",447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"pro",0.376,"447_28",0.421379531676786,0.305240831245246,0.53008335193681
"66","CFPD7","2800_31_2","10.5",3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"pro",0.206,"3309_31",0.172912176714454,0.0796799202097355,0.257070397137351
"67","CFPD8","2800_28_2","10",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"pro",0.435,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"68","CFPD9","700_28_2","8",673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"pro",0.248,"673_28",0.453579864903338,0.374155162752072,0.532997097567735
"69","CFPE10","280_28_1","4",288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"pro",0.398,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"70","CFPE12","700_28_2","8",673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"pro",0.048,"673_28",0.453579864903338,0.374155162752072,0.532997097567735
"71","CFPE14","280_28_2","4",288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"pro",0.411,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"72","CFPE2","280_28_3","4",288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"pro",0.227,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"73","CFPE40","2800_28_1","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.408,"pro",0.252,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"74","CFPE42","2800_28_1","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"pro",0.41,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"75","CFPE6","700_28_3","8",673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"pro",0.282,"673_28",0.453579864903338,0.374155162752072,0.532997097567735
"76","CFPE8","2800_28_3","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"pro",0.222,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"77","CFPF1","280_31_3","4.5",311,31,"T90","F","PSTR","F","280","31","PF_F",10.667,"pro",0.24,"311_31",0.317033064084256,0.233186538418963,0.399222434959375
"78","CFPF2","280_28_3","4",288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"pro",0.275,"288_28",0.561235092718666,0.487023624095881,0.633807833277229
"79","CFPF6","700_28_3","8",673,28,"T90","F","PSTR","F","700","28","PF_F",11.765,"pro",0.139,"673_28",0.453579864903338,0.374155162752072,0.532997097567735
"80","CFPF7","2800_31_3","10.5",3309,31,"T90","F","PSTR","F","2800","31","PF_F",12.335,"pro",0.071,"3309_31",0.172912176714454,0.0796799202097355,0.257070397137351
"81","CFPF8","2800_28_3","10",3285,28,"T90","F","PSTR","F","2800","28","PF_F",15.117,"pro",0.491,"3285_28",0.417114205348864,0.344692314259407,0.492934655129434
"82","CFSA1","280_31_1","4.5",311,31,"T90","F","SSID","A","280","31","SA_F",10.283,"pro",0.392,"311_31",0.439080298160748,0.354894144238484,0.521880972422285
"83","CFSA10","2800_28_1","10",3285,28,"T90","F","SSID","A","2800","28","SA_F",6.446,"pro",0.491,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"84","CFSA14","280_28_1","4",288,28,"T90","F","SSID","A","280","28","SA_F",4.661,"pro",0.617,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"85","CFSA2","400_28_1","6",447,28,"T90","F","SSID","A","400","28","SA_F",8.3,"pro",0.235,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"86","CFSA3","400_31_1","6.5",405,31,"T90","F","SSID","A","400","31","SA_F",10.181,"pro",0.51,"405_31",0.461094503459034,0.381816211282321,0.538392579270814
"87","CFSA5","700_31_1","8.5",701,31,"T90","F","SSID","A","700","31","SA_F",8.918,"pro",0.542,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"88","CFSA6","700_28_1","8",673,28,"T90","F","SSID","A","700","28","SA_F",9.068,"pro",0.655,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"89","CFSA7","2800_31_1","10.5",3309,31,"T90","F","SSID","A","2800","31","SA_F",8.812,"pro",0.208,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
"90","CFSB1","280_31_1","4.5",311,31,"T90","F","SSID","B","280","31","SB_F",12.31,"pro",0.607,"311_31",0.439080298160748,0.354894144238484,0.521880972422285
"91","CFSB10","400_31_1","6.5",405,31,"T90","F","SSID","B","400","31","SB_F",11.296,"pro",0.336,"405_31",0.461094503459034,0.381816211282321,0.538392579270814
"92","CFSB13","400_28_1","6",447,28,"T90","F","SSID","B","400","28","SB_F",12.975,"pro",0.493,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"93","CFSB2","280_28_1","4",288,28,"T90","F","SSID","B","280","28","SB_F",10.805,"pro",0.435,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"94","CFSB3","2800_28_1","10",3285,28,"T90","F","SSID","B","2800","28","SB_F",9.702,"pro",0.245,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"95","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"pro",0.62,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"96","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"pro",0.62,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"97","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"pro",0.309,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"98","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"pro",0.309,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"99","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"pro",0.309,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"100","CFSB7","2800_31_1","10.5",3309,31,"T90","F","SSID","B","2800","31","SB_F",11.199,"pro",0.208,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
"101","CFSC14","400_28_2","6",447,28,"T90","F","SSID","C","400","28","SC_F",10.229,"pro",1.181,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"102","CFSC2","280_28_2","4",288,28,"T90","F","SSID","C","280","28","SC_F",8.893,"pro",0.413,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"103","CFSC5","700_31_2","8.5",701,31,"T90","F","SSID","C","700","31","SC_F",9.915,"pro",0.673,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"104","CFSC6","700_28_2","8",673,28,"T90","F","SSID","C","700","28","SC_F",8.956,"pro",0.558,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"105","CFSC7","2800_31_2","10.5",3309,31,"T90","F","SSID","C","2800","31","SC_F",9.433,"pro",0.777,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
