"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"den",5.524414525,"311_31",6.40376437571627,5.23891994321862,7.52360193009412
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"den",7.570308751,"447_28",6.46078568112102,5.49271621292933,7.46877254811404
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"den",2.911506818,"288_28",7.29500406645275,6.23554832662349,8.29335153749679
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"den",1.706253931,"673_28",5.06334009585158,4.02636060449148,6.08544521962023
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"den",5.384362553,"3285_28",5.87371228578525,4.8632455762425,6.86442135655224
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"den",3.959796168,"673_28",5.06334009585158,4.02636060449148,6.08544521962023
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"den",3.133596145,"447_28",6.46078568112102,5.49271621292933,7.46877254811404
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"den",7.07107026,"288_28",7.29500406645275,6.23554832662349,8.29335153749679
"9","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"den",5.362878661,"3285_28",5.87371228578525,4.8632455762425,6.86442135655224
"10","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"den",7.818658942,"311_31",6.40376437571627,5.23891994321862,7.52360193009412
"11","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"den",9.155565342,"447_28",6.46078568112102,5.49271621292933,7.46877254811404
"12","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"den",10.12720581,"288_28",7.29500406645275,6.23554832662349,8.29335153749679
"13","CFAC3","400_31_2","6.5",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"den",5.945336226,"405_31",5.56954599038454,4.42079628579806,6.72750567506717
"14","CFAC5","700_31_2","8.5",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"den",1.859831389,"701_31",4.17210040511511,3.10610817509678,5.27068441582103
"15","CFAC6","700_28_2","8",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"den",8.725233157,"673_28",5.06334009585158,4.02636060449148,6.08544521962023
"16","CFAC8","2800_28_2","10",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"den",7.74199097,"3285_28",5.87371228578525,4.8632455762425,6.86442135655224
"17","CFAD12","400_28_2","6",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"den",5.618783252,"447_28",6.46078568112102,5.49271621292933,7.46877254811404
"18","CFAD2","280_28_2","4",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"den",4.812398797,"288_28",7.29500406645275,6.23554832662349,8.29335153749679
"19","CFAD5","700_31_2","8.5",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"den",2.283506126,"701_31",4.17210040511511,3.10610817509678,5.27068441582103
"20","CFAD6","700_28_2","8",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"den",5.52949998,"673_28",5.06334009585158,4.02636060449148,6.08544521962023
"21","CFAD8","2800_28_2","10",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"den",7.286756593,"3285_28",5.87371228578525,4.8632455762425,6.86442135655224
