"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","host",1.39061835608299,0.929846619880405,0.707697133372592,1.14436489713116
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","host",1.23307558900558,1.12655344920694,0.908346657089701,1.33947634914725
"25","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","host",0.615518245471957,1.04814422734456,0.791795101237309,1.30082494145005
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","host",0.825304285380332,1.21610838264667,1.01089143605341,1.42742489409321
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"3285_28","host",0.410241102314613,0.929846619880405,0.707697133372592,1.14436489713116
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"288_28","host",0.879255661337135,1.21610838264667,1.01089143605341,1.42742489409321
"29","CFAF3","400_31_3",6.5,405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"405_31","host",0.722850661824004,0.958589293904827,0.70776290748174,1.21925717465513
"30","CFAF5","700_31_3",8.5,701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"701_31","host",0.753847693286405,0.804356800375009,0.565334852402415,1.04529944630916
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"673_28","host",0.308233195414566,0.972320955677122,0.754378563533001,1.17773151769943
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"3285_28","host",1.08048658947776,0.929846619880405,0.707697133372592,1.14436489713116
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"447_28","host",2.57008842501475,1.12655344920694,0.908346657089701,1.33947634914725
"34","CFPA1","280_31_1",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"311_31","host",0.665864781813091,0.878774775188445,0.644718121068066,1.11061129888645
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"3285_28","host",1.31834938008895,1.25890766148147,1.06071566252267,1.45846880438832
"36","CFPA11","400_31_2",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"405_31","host",0.686398829157247,0.789219841748714,0.52748531989846,1.04817108799692
"37","CFPA12","280_31_2",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"311_31","host",0.219722158308879,0.878774775188445,0.644718121068066,1.11061129888645
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"288_28","host",1.21665295579158,1.54516942424774,1.34840749598505,1.73770730401909
"39","CFPA20","700_31_2",8.5,701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"701_31","host",1.01607034535657,0.634987348218896,0.377889171890988,0.879311404428489
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"288_28","host",2.06050462805449,1.54516942424774,1.34840749598505,1.73770730401909
"41","CFPA22","2800_31_2",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"3309_31","host",0.411350010670482,0.592513012422179,0.359379294264042,0.837114156328883
"42","CFPA3","400_31_1",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"405_31","host",0.636948870634809,0.789219841748714,0.52748531989846,1.04817108799692
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"673_28","host",2.33859139965841,1.30138199727819,1.10658820859703,1.49380159604096
"44","CFPA7","2800_31_1",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"3309_31","host",0.409285776070498,0.592513012422179,0.359379294264042,0.837114156328883
