"","X1","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg"
"57",57,"CFPC12","700_31_2","701_31",701,31,"T90","F","P","C","700",31,"PC_F",11.884,3141.566856,0.259,19.036,514.1,137.2,104.95,36,278.15,141.25,110.5,46.15,297.9,222.65,192.9,113.35,528.9,212.2,183.3,101.25,496.75,216,189.55,108.55,-0.778,0.273639908901955,0.019353738
"58",58,"CFPC2","280_28_2","288_28",288,28,"T90","F","P","C","280",28,"PC_F",10.872,1259067.358,0.724,159.677,255.55,136.4,109.5,44.7,290.6,131.35,100.15,43.75,275.25,105.25,81.15,44.6,231,76.15,56,39.25,171.4,118.05,87.55,49.95,1.071,0.72155337422864,0.142358185
"59",59,"CFPC6","700_28_2","673_28",673,28,"T90","F","P","C","700",28,"PC_F",11.821,77712.60997,0.247,19.433,336.95,145.25,109.3,33.65,288.2,105.35,77.9,26.15,209.4,129.95,100.4,46.65,277,84.1,59.5,35.3,178.9,161.95,125.4,49.6,1.066,0.21063515176253,0.06152616
"60",60,"CFPC8","2800_28_2","3285_28",3285,28,"T90","F","P","C","2800",28,"PC_F",10.075,483557.2024,0.389,87.373,207.2,157.35,121.1,24.25,302.7,185.3,152.05,65.7,403.05,185.25,151.3,61.8,398.35,123.6,91.8,32,247.4,104.15,76.45,26.6,-0.725,0.549909199050456,0.137596669
"61",61,"CFPD1","280_31_2","311_31",311,31,"T90","F","P","D","280",31,"PD_F",12.425,0,0.537,23.711,438.5,84.15,56,15.4,155.55,124.25,90.2,30.5,244.95,176.15,135.65,60.1,371.9,195.8,163.55,88.2,447.55,188.65,162.45,87.4,-0.159,0.277480911563969,0.069706844
"62",62,"CFPD11","2800_28_2","3285_28",3285,28,"T90","F","P","D","2800",28,"PD_F",7.24,1678176.796,0.587,77.507,273.8,95.75,65.3,17.1,178.15,77.1,51.25,17,145.35,101.8,70.7,28.8,201.3,113.8,83.25,29.1,226.15,135.4,105.35,33.05,-0.514,0.97907,0.397779198
"63",63,"CFPD2","280_28_2","288_28",288,28,"T90","F","P","D","280",28,"PD_F",11.427,4637499.271,0.465,219.443,142.15,89.1,58.05,6.7,153.85,101.5,71.7,25.95,199.15,118.25,82.5,26.7,227.45,81.6,54.4,18.6,154.6,72.05,48.95,21.15,1.208,0.839582617361759,0.221084052
"64",64,"CFPD5","700_31_2","701_31",701,31,"T90","F","P","D","700",31,"PD_F",8.533,6563.012735,0.21,7.645,463.85,103.45,67.3,15.65,186.4,124.05,89.8,30.2,244.05,165,127.85,55.55,348.4,241.35,222.45,150.65,614.45,197.3,169.55,97,-1.127,0.278737256220066,0.010662833
"65",65,"CFPD6","400_28_2","447_28",447,28,"T90","F","P","D","400",28,"PD_F",8.239,2419127.761,0.376,164.945,177.2,NA,NA,NA,NA,109.9,74.75,32.55,217.2,100.3,66.2,22.25,188.75,80.25,51.35,16.45,148.05,94.05,63.15,20,1.068,0.796778617436556,0.030270381
"66",66,"CFPD7","2800_31_2","3309_31",3309,31,"T90","F","P","D","2800",31,"PD_F",11.931,672776.0393,0.206,10.083,483.6,115.85,82.1,25.4,223.35,137.35,105.4,39.7,282.45,171.45,137.7,64.95,374.1,206.4,178.7,98.8,483.9,198.45,174.9,110.25,-0.888,0.270079638950022,0.096010272
"67",67,"CFPD8","2800_28_2","3285_28",3285,28,"T90","F","P","D","2800",28,"PD_F",7.965,1042102.62,0.435,32.806,328.75,101,70.35,16.8,188.15,78.85,52.6,16.35,147.8,108.2,75.6,30.5,214.3,121.3,90.4,34.15,245.85,155.3,123.1,50.35,-0.201,0.955771111117612,1.043987613
"68",68,"CFPD9","700_28_2","673_28",673,28,"T90","F","P","D","700",28,"PD_F",7.055,576828.5768,0.248,19.637,303.75,121.65,84.05,15.75,221.45,95.3,66.7,21.25,183.25,118.8,86.25,27.8,232.85,111.75,78.35,24.65,214.75,151.9,117,34.85,0.154,0.352749651750484,0.065683866
"69",69,"CFPE10","280_28_1","288_28",288,28,"T90","F","P","E","280",28,"PE_F",11.543,378400.231,0.398,22.028,340,130.3,97.4,19.7,247.4,134.25,102.5,35.35,272.1,135.5,103.3,33.35,272.15,148,118.05,40.3,306.35,163.25,133.65,43.1,-1.232,0.443536529149159,0.382735528
"70",70,"CFPE12","700_28_2","673_28",673,28,"T90","F","P","E","700",28,"PE_F",13.964,332855.9152,0.048,14.818,219.2,163.3,131.65,43.7,338.65,121.1,89.95,27.7,238.75,145.4,108.55,30.95,284.9,113.2,80.55,18.7,212.45,118.95,87.2,13.05,-0.059,0.130963255514179,0.011040476
"71",71,"CFPE14","280_28_2","288_28",288,28,"T90","F","P","E","280",28,"PE_F",8.052,1384930.656,0.411,133.943,201,147.35,109.3,9.95,266.6,111.65,78.1,19.3,209.05,105.85,74.6,27.65,208.1,95.3,67,18.45,180.75,107.9,78.15,14.95,-0.39,0.433368220226315,0.277998049
"72",72,"CFPE2","280_28_3","288_28",288,28,"T90","F","P","E","280",28,"PE_F",10.804,741184.0928,0.227,28.079,272.3,136.2,108.1,30.35,274.65,146.55,114,45.3,305.85,133.45,100,38.4,271.85,114.65,82,18.7,215.35,140,107.3,25,-0.945,0.286377869616011,0.087067659
"73",73,"CFPE40","2800_28_1","3285_28",3285,28,"T90","F","P","E","2800",28,"PE_F",9.408,775821.1388,0.252,35.975,286.65,134.8,103.2,23.8,261.8,103.1,78.45,30.2,211.75,135.7,106.35,44.55,286.6,140.1,105.6,32.05,277.75,141.05,110.45,35.15,-0.912,0.370696470773104,NA
"74",74,"CFPE42","2800_28_1","3285_28",3285,28,"T90","F","P","E","2800",28,"PE_F",9.626,1302721.795,0.41,80.703,288.8,165.2,129.15,23.25,317.6,121.1,88.5,27.5,237.1,131.15,101.65,43.25,276.05,102,77.45,33.85,213.3,132.95,109.05,46.8,0.089,0.599661848639102,0.015049067
"75",75,"CFPE6","700_28_3","673_28",673,28,"T90","F","P","E","700",28,"PE_F",10.186,1078868.999,0.282,50.272,195.9,134.15,102.7,25.55,262.4,105.6,78.4,25.95,209.95,98.4,73.65,47.1,219.15,105.55,72.95,17.25,195.75,108.3,76.7,10.9,0.501,0.296192128711525,0.139318444
"76",76,"CFPE8","2800_28_3","3285_28",3285,28,"T90","F","P","E","2800",28,"PE_F",11.411,1009902.725,0.222,37.497,266.35,157.75,121.6,33.3,312.65,94.5,66.5,21.45,182.45,122.85,91.2,30.95,245,119.75,90.35,27.05,237.15,131.55,101.3,33.5,-0.27,0.292174768498233,0.135297048
"77",77,"CFPF1","280_31_3","311_31",311,31,"T90","F","P","F","280",31,"PF_F",10.667,253112.3444,0.24,65.921,398.55,99.35,69.3,9.55,178.2,123.15,92.2,29.75,245.1,172.55,138.75,49.8,361.1,180.3,145.7,58.4,384.4,178.65,151.6,68.3,0.323,0.454428343582821,0.101261598
"78",78,"CFPF2","280_28_3","288_28",288,28,"T90","F","P","F","280",28,"PF_F",11.07,768948.1767,0.275,28.832,327.5,136.75,101.75,18.25,256.75,167.45,131.2,49.45,348.1,144,106.8,37.9,288.7,171.35,132.95,39.2,343.5,161.65,128.25,37.6,-0.7,0.292871548437812,0.144708576
"79",79,"CFPF6","700_28_3","673_28",673,28,"T90","F","P","F","700",28,"PF_F",11.765,493087.0354,0.139,9.643,283.75,174.7,137.3,40.1,352.1,127.65,96.9,30.05,254.6,173.3,137.55,66.6,377.45,169.7,135.15,55.6,360.45,146.8,111.55,25.4,-0.171,0.222075191302718,0.178358814
"80",80,"CFPF7","2800_31_3","3309_31",3309,31,"T90","F","P","F","2800",31,"PF_F",12.335,116224.396,0.071,25.589,314.35,152.8,120.2,31.65,304.65,150.9,121.95,51.4,324.25,211.15,181.45,100.05,492.65,215.2,190.15,99.9,505.25,140.25,113.85,60.25,-0.94,0.25707935152599,0.080168827
"81",81,"CFPF8","2800_28_3","3285_28",3285,28,"T90","F","P","F","2800",28,"PF_F",15.117,2192410.311,0.491,46.865,256.85,178.65,144.45,42.95,366.05,129.8,97.3,31.55,258.65,147.15,109.05,39.45,295.65,140.05,104.95,31.15,276.15,124.1,94.65,38.1,-0.013,0.543351798637296,0.092627801
