"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"chla",217.808,"311_31",142.431141330754,109.900793583292,173.039211829734
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"chla",110.249,"447_28",45.9748812852824,19.3165728384977,71.6764504949992
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"chla",21.946,"288_28",104.165502472166,75.6542057364178,133.035272297679
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"chla",15.681,"673_28",45.1450874379758,16.8892603594657,74.0857174127417
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"chla",70.777,"3285_28",17.2754644898887,-10.7513098520035,45.8151835520212
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"chla",29.419,"673_28",45.1450874379758,16.8892603594657,74.0857174127417
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"chla",62.217,"447_28",45.9748812852824,19.3165728384977,71.6764504949992
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"chla",114.412,"288_28",104.165502472166,75.6542057364178,133.035272297679
"9","CFAB3","400_31_1","6.5",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"chla",35.844,"405_31",84.2405201438704,53.805851863879,115.180440441815
"10","CFAB5","700_31_1","8.5",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"chla",97.157,"701_31",83.4107262965638,54.1607301361294,111.968689652159
"11","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"chla",28.351,"3285_28",17.2754644898887,-10.7513098520035,45.8151835520212
"12","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"chla",141.125,"311_31",142.431141330754,109.900793583292,173.039211829734
"13","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"chla",76.26,"447_28",45.9748812852824,19.3165728384977,71.6764504949992
"14","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"chla",93.196,"288_28",104.165502472166,75.6542057364178,133.035272297679
