"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A","T0","T0","AA_F",12.00066667,"T0","host",2.325267997,2.01399145170538,1.61376587728253,2.42100498844329
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B","T0","T0","AB_F",11.39933333,"T0","host",1.317340251,2.01399145170538,1.61376587728253,2.42100498844329
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C","T0","T0","AC_F",10.686,"T0","host",2.058804767,2.01399145170538,1.61376587728253,2.42100498844329
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,2.01399145170538,1.61376587728253,2.42100498844329
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,2.01399145170538,1.61376587728253,2.42100498844329
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,2.01399145170538,1.61376587728253,2.42100498844329
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,2.01399145170538,1.61376587728253,2.42100498844329
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F","T0","T0","AF_F",6.160666667,"T0","host",2.161405571,2.01399145170538,1.61376587728253,2.42100498844329
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B","T0","T0","PB_F",7.280333333,"T0","host",1.065649513,1.09101702308637,0.309723429824249,1.92180725291923
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E","T0","T0","PE_F",8.785333333,"T0","host",1.098071551,1.09101702308637,0.309723429824249,1.92180725291923
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A","T0","T0","SA_F",8.170666667,"T0","host",1.008753175,1.51212495114859,1.02035885594554,2.03647933765667
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B","T0","T0","SB_F",11.544,"T0","host",1.577018011,1.51212495114859,1.02035885594554,2.03647933765667
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C","T0","T0","SC_F",9.465666667,"T0","host",2.096572684,1.51212495114859,1.02035885594554,2.03647933765667
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D","T0","T0","SD_F",9.394333333,"T0","host",1.681157498,1.51212495114859,1.02035885594554,2.03647933765667
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E","T0","T0","SE_F",9.466666667,"T0","host",1.116762788,1.51212495114859,1.02035885594554,2.03647933765667
"16","CNAA13","400_28",2,447,28,"T0","N","PAST","A","T0","T0","AA_N",7.16,"T0","host",1.775449795,1.54300291241523,1.03265796476289,2.06897877753804
"17","CNAC9","400_28",2,447,28,"T0","N","PAST","C","T0","T0","AC_N",9.716333333,"T0","host",1.309519491,1.54300291241523,1.03265796476289,2.06897877753804
"18","CNAD12","400_28",2,447,28,"T0","N","PAST","D","T0","T0","AD_N",10.35566667,"T0","host",0.768345326,1.54300291241523,1.03265796476289,2.06897877753804
"19","CNAE9","400_28",2,447,28,"T0","N","PAST","E","T0","T0","AE_N",9.664,"T0","host",1.843591996,1.54300291241523,1.03265796476289,2.06897877753804
"20","CNAF9","400_28",2,447,28,"T0","N","PAST","F","T0","T0","AF_N",10.11366667,"T0","host",2.003082565,1.54300291241523,1.03265796476289,2.06897877753804
"21","CNPA9","400_28",2,447,28,"T0","N","PSTR","A","T0","T0","PA_N",10.44766667,"T0","host",0.44248854,1.34734308809072,0.883248730857274,1.80993470997034
"22","CNPB9","400_28",2,447,28,"T0","N","PSTR","B","T0","T0","PB_N",11.17033333,"T0","host",0.967239162,1.34734308809072,0.883248730857274,1.80993470997034
"23","CNPC10","400_28",2,447,28,"T0","N","PSTR","C","T0","T0","PC_N",10.55266667,"T0","host",1.495374009,1.34734308809072,0.883248730857274,1.80993470997034
"24","CNPD9","400_28",2,447,28,"T0","N","PSTR","D","T0","T0","PD_N",7.814333333,"T0","host",1.633776762,1.34734308809072,0.883248730857274,1.80993470997034
"25","CNPE10","400_28",2,447,28,"T0","N","PSTR","E","T0","T0","PE_N",10.709,"T0","host",1.757899697,1.34734308809072,0.883248730857274,1.80993470997034
"26","CNPF15","400_28",2,447,28,"T0","N","PSTR","F","T0","T0","PF_N",9.076,"T0","host",1.800674048,1.34734308809072,0.883248730857274,1.80993470997034
"27","CNSB15","400_28",2,447,28,"T0","N","SSID","B","T0","T0","SB_N",10.22766667,"T0","host",2.182382278,1.83177985816844,1.32166030018387,2.36160547208367
"28","CNSC9","400_28",2,447,28,"T0","N","SSID","C","T0","T0","SC_N",11.61133333,"T0","host",1.615917276,1.83177985816844,1.32166030018387,2.36160547208367
"29","CNSD10","400_28",2,447,28,"T0","N","SSID","D","T0","T0","SD_N",11.04566667,"T0","host",1.813452016,1.83177985816844,1.32166030018387,2.36160547208367
"30","CNSE9","400_28",2,447,28,"T0","N","SSID","E","T0","T0","SE_N",10.54866667,"T0","host",1.055579505,1.83177985816844,1.32166030018387,2.36160547208367
"31","CNSF22","400_28",2,447,28,"T0","N","SSID","F","T0","T0","SF_N",10.542,"T0","host",2.535837484,1.83177985816844,1.32166030018387,2.36160547208367
"32","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","host",1.919359086,0.995829480164017,0.573033797551193,1.43160223704222
"33","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","host",0.893375514,1.06403563686428,0.675039610064273,1.46304596399087
"34","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","host",0.854523864,1.14528058964553,0.741481846870424,1.56852832746434
"35","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","host",0.646870715,0.633568941437158,0.249382235890071,1.03490204850479
"36","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","host",1.928462679,1.00818102783547,0.521554031837209,1.49793668838281
"37","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","host",0.4603432,0.633568941437158,0.249382235890071,1.03490204850479
"38","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","host",1.176824862,1.06403563686428,0.675039610064273,1.46304596399087
"39","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","host",1.914433558,1.14528058964553,0.741481846870424,1.56852832746434
"40","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,"405_31","host",0.531166084,0.914584527382768,0.493764710985236,1.3498469193831
"41","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,"701_31","host",0.677050765,0.484117831955646,0.063343051023283,0.888494957560268
"42","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","host",0.698558542,1.00818102783547,0.521554031837209,1.49793668838281
