"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"129","CNAA3","400_31_1",6,405,31,"T90","N","PAST","A","420","31","AA_N",10.905,1.651,"host",1.786295243,1.30303453361154,0.884440221943534,1.72493931462818
"130","CNAA5","700_31_1",8,701,31,"T90","N","PAST","A","680","31","AA_N",10.874,0.506,"host",1.036534643,0.909324205691369,0.522750692583523,1.3110256228484
"131","CNAA6","400_28_1",6,447,28,"T90","N","PAST","A","420","28","AA_N",8.667,0.865,"host",1.649409874,1.45032283341158,1.04648240164043,1.85262200717732
"132","CNAA7","2800_31_1",10,3309,31,"T90","N","PAST","A","3300","31","AA_N",11.976,0.459,"host",0.154729838,0.559752852412806,0.130608072195853,0.976393085472043
"133","CNAA9","2800_28_1",10,3285,28,"T90","N","PAST","A","3300","28","AA_N",10.005,2.299,"host",0.804230587,0.70704115221285,0.302768689497376,1.10357286804251
"134","CNAB10","280_28_1",4,288,28,"T90","N","PAST","B","300","28","AB_N",9.038,0.719,"host",0.746440878,1.400414066647,0.963303972806413,1.85253300758374
"135","CNAB11","400_31_1",6,405,31,"T90","N","PAST","B","420","31","AB_N",7.304,0.89,"host",0.616801127,1.30303453361154,0.884440221943534,1.72493931462818
"136","CNAB12","2800_28_1",10,3285,28,"T90","N","PAST","B","3300","28","AB_N",6.944,1.152,"host",0.831167577,0.70704115221285,0.302768689497376,1.10357286804251
"137","CNAB13","280_31_1",4,311,31,"T90","N","PAST","B","300","31","AB_N",12.161,1.48,"host",1.521627071,1.25312576684696,0.775966530051221,1.73755178704103
"138","CNAB19","400_28_1",6,447,28,"T90","N","PAST","B","420","28","AB_N",6.617,1.436,"host",0.841418431,1.45032283341158,1.04648240164043,1.85262200717732
"139","CNAC1","280_31_2",4,311,31,"T90","N","PAST","C","300","31","AC_N",8.864,1.805,"host",2.045942382,1.25312576684696,0.775966530051221,1.73755178704103
"140","CNAC12","400_28_2",6,447,28,"T90","N","PAST","C","420","28","AC_N",6.932,1.515,"host",2.087330963,1.45032283341158,1.04648240164043,1.85262200717732
"141","CNAC2","280_28_2",4,288,28,"T90","N","PAST","C","300","28","AC_N",11.649,0.472,"host",1.475687717,1.400414066647,0.963303972806413,1.85253300758374
"142","CNAC3","400_31_2",6,405,31,"T90","N","PAST","C","420","31","AC_N",8.534,0.762,"host",2.373856452,1.30303453361154,0.884440221943534,1.72493931462818
"143","CNAC5","700_31_2",8,701,31,"T90","N","PAST","C","680","31","AC_N",9.56,0.785,"host",0.988328181,0.909324205691369,0.522750692583523,1.3110256228484
"144","CNAC6","700_28_2",8,673,28,"T90","N","PAST","C","680","28","AC_N",10.235,0.782,"host",0.671385287,1.05661250549141,0.664906896853496,1.46198471170815
"145","CNAC8","2800_28_2",10,3285,28,"T90","N","PAST","C","3300","28","AC_N",10.829,0.739,"host",0.675559265,0.70704115221285,0.302768689497376,1.10357286804251
"146","CNAD10","280_28_2",4,288,28,"T90","N","PAST","D","300","28","AD_N",11.882,0.463,"host",0.630533063,1.400414066647,0.963303972806413,1.85253300758374
"147","CNAD3","400_31_2",6,405,31,"T90","N","PAST","D","420","31","AD_N",12.839,0.506,"host",0.483431693,1.30303453361154,0.884440221943534,1.72493931462818
"148","CNAD5","700_31_2",8,701,31,"T90","N","PAST","D","680","31","AD_N",12.119,0.866,"host",0.487603649,0.909324205691369,0.522750692583523,1.3110256228484
"149","CNAD6","700_28_2",8,673,28,"T90","N","PAST","D","680","28","AD_N",11.062,0.497,"host",0.47836286,1.05661250549141,0.664906896853496,1.46198471170815
"150","CNAD7","2800_31_2",10,3309,31,"T90","N","PAST","D","3300","31","AD_N",12.793,0.43,"host",0.545361963,0.559752852412806,0.130608072195853,0.976393085472043
"151","CNAD8","2800_28_2",10,3285,28,"T90","N","PAST","D","3300","28","AD_N",9.482,0.58,"host",0.59315355,0.70704115221285,0.302768689497376,1.10357286804251
"152","CNAD9","400_28_2",6,447,28,"T90","N","PAST","D","420","28","AD_N",12.847,0.506,"host",0.520603856,1.45032283341158,1.04648240164043,1.85262200717732
"153","CNAE11","400_28_3",6,447,28,"T90","N","PAST","E","420","28","AE_N",9.245,1.028,"host",2.029542567,1.45032283341158,1.04648240164043,1.85262200717732
"154","CNAE2","280_28_3",4,288,28,"T90","N","PAST","E","300","28","AE_N",8.297,1.145,"host",1.576078775,1.400414066647,0.963303972806413,1.85253300758374
"155","CNAE5","700_31_3",8,701,31,"T90","N","PAST","E","680","31","AE_N",9.883,1.062,"host",0.837678242,0.909324205691369,0.522750692583523,1.3110256228484
"156","CNAE6","700_28_3",8,673,28,"T90","N","PAST","E","680","28","AE_N",9.108,0.878,"host",1.502981646,1.05661250549141,0.664906896853496,1.46198471170815
"157","CNAE7","2800_31_3",10,3309,31,"T90","N","PAST","E","3300","31","AE_N",7.256,0.758,"host",0.444362561,0.559752852412806,0.130608072195853,0.976393085472043
"158","CNAE8","2800_28_3",10,3285,28,"T90","N","PAST","E","3300","28","AE_N",7.201,0.764,"host",0.845449016,0.70704115221285,0.302768689497376,1.10357286804251
"159","CNAF1","280_31_3",4,311,31,"T90","N","PAST","F","300","31","AF_N",13.161,1.254,"host",1.671510362,1.25312576684696,0.775966530051221,1.73755178704103
"160","CNAF10","400_28_3",6,447,28,"T90","N","PAST","F","420","28","AF_N",7.282,0.893,"host",1.511317485,1.45032283341158,1.04648240164043,1.85262200717732
"161","CNAF11","2800_28_3",10,3285,28,"T90","N","PAST","F","3300","28","AF_N",13.133,0.8,"host",1.122404457,0.70704115221285,0.302768689497376,1.10357286804251
"162","CNAF5","700_31_3",8,701,31,"T90","N","PAST","F","680","31","AF_N",11.216,1.649,"host",1.184327666,0.909324205691369,0.522750692583523,1.3110256228484
"163","CNAF6","700_28_3",8,673,28,"T90","N","PAST","F","680","28","AF_N",12.997,0.885,"host",1.384306654,1.05661250549141,0.664906896853496,1.46198471170815
"164","CNAF7","2800_31_3",10,3309,31,"T90","N","PAST","F","3300","31","AF_N",10.895,0.734,"host",0.40313987,0.559752852412806,0.130608072195853,0.976393085472043
